,Q4/2024,Q3/2024,Q2/2024,Q1/2024,Q4/2023,Q3/2023,Q2/2023,Q1/2023,Q4/2022,Q3/2022,Q2/2022,Q1/2022,Q4/2021,Q3/2021,Q2/2021,Q1/2021,Q4/2020,Q3/2020,Q2/2020,Q1/2020,Q4/2019,Q3/2019,Q2/2019,Q1/2019,Q4/2018,Q3/2018,Q2/2018,Q1/2018,Q4/2017,Q3/2017,Q2/2017,Q1/2017,Q4/2016,Q3/2016,Q2/2016,Q1/2016,Q4/2015,Q3/2015,Q2/2015,Q1/2015
    Tổng tài sản,"72,013,238,235,529.00","67,581,587,131,382.00","65,286,245,628,524.00","62,024,705,048,429.00","60,325,276,051,932.00","62,112,676,348,644.00","60,524,394,513,231.00","50,741,161,416,448.00","51,655,408,644,948.00","55,127,101,516,155.00","56,295,551,150,306.00","55,601,299,353,620.00","53,696,643,591,424.00","48,244,877,999,621.00","46,980,501,050,598.00","44,474,278,409,818.00","41,749,437,163,498.00","37,757,456,671,158.00","35,912,808,663,756.00","34,416,668,788,926.00","33,658,743,016,242.00","32,276,824,464,760.00","30,375,757,072,964.00","28,748,321,092,475.00","29,725,930,367,404.00","28,080,868,938,813.00","26,286,145,538,324.00","25,010,919,853,656.00","25,025,223,303,861.00","29,693,707,116,780.00","28,045,803,928,968.00","28,003,927,389,472.00","29,912,454,208,197.00","26,397,927,533,364.00","25,344,504,982,890.00","24,695,453,363,506.00","25,983,204,620,721.00","23,677,161,552,011.00","22,581,606,338,389.00","22,206,060,192,447.00"
        Tăng trưởng Tổng tài sản,19.37%,8.80%,7.87%,22.24%,16.78%,12.67%,7.51%,-8.74%,-3.80%,14.27%,19.83%,25.02%,28.62%,27.78%,30.82%,29.22%,24.04%,16.98%,18.23%,19.72%,13.23%,14.94%,15.56%,14.94%,18.78%,-5.43%,-6.27%,-10.69%,-16.34%,12.48%,10.66%,13.40%,15.12%,11.49%,12.24%,11.21%,14.67%,18.71%,27.10%,27.28%
    Tài sản ngắn hạn,"45,475,495,956,466.00","42,605,105,704,316.00","40,835,231,143,696.00","37,679,149,034,489.00","36,709,543,350,385.00","39,531,943,273,981.00","38,758,427,341,944.00","29,524,492,711,606.00","30,933,924,692,832.00","35,269,474,823,622.00","37,159,706,261,301.00","36,617,350,544,580.00","35,116,784,160,545.00","30,655,506,375,345.00","29,634,333,850,918.00","27,905,525,240,833.00","25,608,346,381,474.00","22,473,334,313,473.00","20,974,738,294,596.00","19,577,485,114,151.00","19,038,081,282,518.00","18,431,909,603,327.00","17,849,605,068,190.00","16,918,516,176,002.00","18,373,436,282,760.00","17,461,655,201,328.00","16,757,931,160,407.00","15,891,378,282,225.00","16,053,004,009,331.00","21,767,021,262,664.00","20,220,919,501,796.00","20,264,901,139,315.00","22,082,043,377,930.00","18,913,791,763,597.00","17,801,376,676,329.00","17,461,658,575,148.00","19,209,379,831,470.00","16,827,486,019,097.00","16,240,764,508,172.00","16,319,850,549,250.00"
        Tăng trưởng tài sản ngắn hạn,23.88%,7.77%,5.36%,27.62%,18.67%,12.09%,4.30%,-19.37%,-11.91%,15.05%,25.39%,31.22%,37.13%,36.41%,41.29%,42.54%,34.51%,21.93%,17.51%,15.72%,3.62%,5.56%,6.51%,6.46%,14.45%,-19.78%,-17.13%,-21.58%,-27.30%,15.09%,13.59%,16.05%,14.95%,12.40%,9.61%,7.00%,13.25%,13.34%,27.58%,28.82%
    Tài sản dài hạn,"26,537,742,279,063.00","24,976,481,427,066.00","24,451,014,484,828.00","24,345,556,013,940.00","23,615,732,701,547.00","22,580,733,074,663.00","21,765,967,171,287.00","21,216,668,704,842.00","20,721,483,952,116.00","19,857,626,692,533.00","19,135,844,889,005.00","18,983,948,809,040.00","18,579,859,430,879.00","17,589,371,624,276.00","17,346,167,199,680.00","16,568,753,168,985.00","16,141,090,782,024.00","15,284,122,357,685.00","14,938,070,369,160.00","14,839,183,674,775.00","14,620,661,733,724.00","13,844,914,861,433.00","12,526,152,004,774.00","11,829,804,916,473.00","11,352,494,084,644.00","10,619,213,737,485.00","9,528,214,377,917.00","9,119,541,571,431.00","8,972,219,294,530.00","7,926,685,854,116.00","7,824,884,427,172.00","7,739,026,250,157.00","7,830,410,830,267.00","7,484,135,769,767.00","7,543,128,306,561.00","7,233,794,788,358.00","6,773,824,789,251.00","6,849,675,532,914.00","6,340,841,830,217.00","5,886,209,643,197.00"
        Tăng trưởng tài sản dài hạn,12.37%,10.61%,12.34%,14.75%,13.97%,13.71%,13.74%,11.76%,11.53%,12.90%,10.32%,14.58%,15.11%,15.08%,16.12%,11.66%,10.40%,10.40%,19.26%,25.44%,28.79%,30.38%,31.46%,29.72%,26.53%,33.97%,21.77%,17.84%,14.58%,5.91%,3.74%,6.98%,15.60%,9.26%,18.96%,22.89%,18.89%,34.35%,25.88%,23.20%
    Nợ ngắn hạn,"34,780,312,270,522.00","30,969,636,903,539.00","31,353,291,224,627.00","29,033,182,945,777.00","29,667,280,422,306.00","33,050,415,339,821.00","31,286,939,836,444.00","23,043,504,756,733.00","24,534,231,146,586.00","28,697,860,823,948.00","30,416,062,290,247.00","30,137,625,429,078.00","29,811,587,201,351.00","25,891,181,819,535.00","24,989,658,347,910.00","22,968,032,691,682.00","22,382,164,623,421.00","18,551,811,881,772.00","16,991,794,634,833.00","15,838,154,515,551.00","16,291,312,998,786.00","15,404,437,564,853.00","14,116,094,162,443.00","12,709,176,054,673.00","14,432,174,582,903.00","13,360,081,506,284.00","11,901,667,720,854.00","10,523,957,829,819.00","11,129,329,088,689.00","15,768,899,724,110.00","14,738,301,728,092.00","14,835,525,527,653.00","17,471,939,662,823.00","14,346,984,961,480.00","13,305,699,676,988.00","12,948,092,792,816.00","14,804,950,680,266.00","13,006,055,040,834.00","12,339,405,503,283.00","11,843,484,471,978.00"
        Tăng trưởng nợ ngắn hạn,17.23%,-6.30%,0.21%,25.99%,20.92%,15.17%,2.86%,-23.54%,-17.70%,10.84%,21.71%,31.22%,33.19%,39.56%,47.07%,45.02%,37.39%,20.43%,20.37%,24.62%,12.88%,15.30%,18.61%,20.76%,29.68%,-15.28%,-19.25%,-29.06%,-36.30%,9.91%,10.77%,14.58%,18.01%,10.31%,7.83%,9.33%,13.34%,21.89%,43.47%,40.78%
        Vay và nợ thuê tài chính ngắn hạn,"14,446,238,451,323.00","14,167,809,581,083.00","16,024,050,830,233.00","15,984,086,694,338.00","13,837,894,474,107.00","18,937,892,531,470.00","19,307,278,156,994.00","12,043,373,564,413.00","10,904,344,845,014.00","16,248,169,308,008.00","19,720,103,859,650.00","20,476,429,866,972.00","17,799,441,187,777.00","15,943,319,237,854.00","15,361,627,338,629.00","14,804,786,460,957.00","12,062,410,192,740.00","10,256,051,493,688.00","9,571,890,414,760.00","9,110,750,395,492.00","7,515,958,654,008.00","8,217,017,165,227.00","7,273,258,811,787.00","6,585,118,717,633.00","6,603,319,589,348.00","6,716,837,131,564.00","5,971,944,040,829.00","4,993,557,964,115.00","4,116,988,708,324.00","7,916,804,619,692.00","7,887,844,050,852.00","8,894,176,678,529.00","9,175,453,147,807.00","7,732,115,769,330.00","7,461,561,358,475.00","7,381,113,092,311.00","8,124,598,534,499.00","7,123,584,157,075.00","6,203,353,547,591.00","6,745,213,941,326.00"
            Tăng trưởng vay và nợ thuê tài chính ngắn hạn,4.40%,-25.19%,-17.01%,32.72%,26.90%,16.55%,-2.09%,-41.18%,-38.74%,1.91%,28.37%,38.31%,47.56%,55.45%,60.49%,62.50%,60.49%,24.81%,31.60%,38.35%,13.82%,22.33%,21.79%,31.87%,60.39%,-15.16%,-24.29%,-43.86%,-55.13%,2.39%,5.71%,20.50%,12.93%,8.54%,20.28%,9.43%,20.86%,38.60%,61.08%,53.72%
